id,text,label
1966,cuando el mayordomo se siente feliz corazones trae,0
1023,odio los bloqueos creativos,0
950,sabes que soy independiente pero ya ni odio españa ni nada pero me lo ponen difícil,0
1662,se acuerdan cuando adele adelgazó un chingo por la depresión y en vez de preocuparse por su estado mental se dedicaron a hablar de lo bien que se veía por eso la sociedad vale,0
521,no lo segundo no es debatible por ningún lado de estas si te saco datos a morir sí lo toman muy a pecho mira que hace un rato decías que queríamos ser la capital y no nunca ni de chiste jaja samborondón es samborondón amigo usted lo sabe solo lo niega,0
1950,busca el origen de tu estrés lo que te pasa es un síntoma de algo más y no te culpes cuando te recuperes serás quien quieres ser dale espacio a alguna abuela que estará feliz de estar con tu beba todos ganan,0
749,en octubre y adancito en diciembre lo único que le pido al universo es poder ir a los dos y ya puedo morir en paz,0
2007,que feliz me hace mi novio,0
756,no que les follen pero yo no me odio ser como soy,0
304,buenas tardes nuevamente a través de sus medios pido ayuda para difundir que otra vez no hay medicamento traztuzumab en seguro san josé es muy triste que se nos apague la vida por interrumpir los tratamientos de quimios,0
1470,que te digan lo lograste volviste a ser la misma alegre de siempre una alegría en el corazón porque claro que me costó mucho salir del cuadro de depresión en el que estuve durante meses los quiero chicos,0
1283,no para nada me reí estaba yo cansado a las ya,0
2456,como le explico que me siento rota que si lo busco es porque de verdad lo necesito y que es la única persona que llego a entender mi caos y que ahora no se como seguir así,0
2610,realmente yo debo tener un problema llamado irresponsabilidad financiera porque cada vez que me siento triste voy a gastarme los cobres y dejo esa cuenta en cero al momento de la compra feliz luego en mi casa llorando y sin plata,0
2153,el merluzo esta feliz y la caga en el país,0
2375,siento haber defraudado a mi profe de mates del instituto me hizo repetir un examen aprobado de complejos porque tenía fe en mi pero ya no me acuerdo de las propiedades de los números imaginarios,0
2382,hizo querer salirme de ahí siento que si me hubiera quedado también sería así y agradezco que no me haya pasado los chicos son demasiado geniales y tengo demasiado que agradecerles a ellos pero  en verdad está mal y necesita la limpieza más grande de sus vidas,0
2651,no estoy triste más bien preocupada por mi salud y la verdad me aterra siento que esto es peor que cuando casi la trombosis y terminé en una máquina de tomografía,0
2209,me llena de alegría que mi mamá me mande fotos y videos con mi papá viajando y descansando de todo se lo merecen mucho,0
2504,mi pregunta es qué canción del álbum es la que más te ha costado acabar mi frase favorita es anymore porque me siento muy identificada tanto con esa frase como con la canción es muy personal para mi,0
1485,siento que estoy muriendo lentamente apestada por una gripe galopante,0
704,me voy a morir por culpa de un ramen,0
1121,estoy cansado padre,0
388,morir no sé pero una vez aguante el dolor varios días y me internaron luego por la infección como días cuídate,0
2441,con las secuelas que te deja el  cada que toso me siento más cerquita del cielo,0
154,que triste y que poco dice de ella tener que recurrir a eso,0
